Package,Version
NMF,0.28
annotate,1.89.0
AnnotationDbi,1.73.1
AnnotationHub,4.1.0
assorthead,1.5.16
basilisk,1.23.0
basilisk.utils,1.23.1
beachmat,2.27.5
Biobase,2.71.0
BiocBaseUtils,1.13.0
BiocFileCache,3.1.0
BiocGenerics,0.57.1
biocmake,1.3.1
BiocNeighbors,2.5.4
BiocParallel,1.45.0
BiocSingular,1.27.1
Biostrings,2.79.5
clusterExperiment,2.31.3
ComplexHeatmap,2.27.1
DelayedArray,0.37.1
densvis,1.21.1
DESeq2,1.51.7
dir.expiry,1.19.0
edgeR,4.9.9
ExperimentHub,3.1.0
genefilter,1.93.0
GenomeInfoDb,1.47.2
GenomicRanges,1.63.2
graph,1.89.1
h5mread,1.3.3
HDF5Array,1.39.1
IRanges,2.45.0
KEGGREST,1.51.1
limma,3.67.3
MatrixGenerics,1.23.0
mbkmeans,1.27.1
RBGL,1.87.0
Rgraphviz,2.55.0
rhdf5,2.55.16
rhdf5filters,1.23.3
Rhdf5lib,1.99.6
S4Arrays,1.11.1
S4Vectors,0.49.3
ScaledMatrix,1.19.0
scater,1.39.4
scuttle,1.21.6
Seqinfo,1.1.0
SingleCellExperiment,1.33.2
SparseArray,1.11.13
sparseMatrixStats,1.23.0
SpatialExperiment,1.21.0
spatialFDA,1.3.3
SummarizedExperiment,1.41.1
UCSC.utils,1.7.1
variancePartition,1.41.5
XVector,0.51.0
zinbwave,1.33.0
