Package,Version
abind,1.4-8
acepack,1.6.3
actuar,3.3-7
ade4,1.7-24
admisc,0.40
AER,1.2-16
afex,1.5-1
akima,0.6-3.6
Amelia,1.8.3
anytime,0.3.13
aod,1.3.3
ape,5.8-1
areal,0.1.8
arg,0.1.0
argparse,2.3.1
arm,1.15-3
arrow,23.0.1.2
ars,0.8
ash,1.0-15
ashr,2.2-63
askpass,1.2.1
assertthat,0.2.1
astsa,2.5
AUC,0.3.2
av,0.9.6
aws.s3,0.3.22
aws.signature,0.6.0
backports,1.5.1
bartMachine,1.4.1.1
bartMachineJARs,1.2.2
base64enc,0.1-6
BayesFactor,0.9.12-4.8
BayesFM,0.1.7
bayesm,3.1-7
bayesplot,1.15.0
bayestestR,0.17.0
BBmisc,1.13.1
bbmle,1.0.25.1
bdsmatrix,1.3-7
beeswarm,0.4.0
bench,1.1.4
benchmarkme,1.0.8
benchmarkmeData,2.0.0
BH,1.90.0-1
BiasedUrn,2.0.12
bigD,0.3.1
biglm,0.9-3
bigmemory,4.6.4
bigmemory.sri,0.1.8
BiocManager,1.30.27
bit,4.6.0
bit64,4.8.0
bitops,1.0-9
blme,1.0-7
blob,1.3.0
BMA,3.18.21
bookdown,0.46
bootstrap,2019.6
brew,1.0-10
brglm,0.7.3
brglm2,1.0.1
bridgesampling,1.2-1
brio,1.1.5
brms,2.23.0
Brobdingnag,1.2-9
broom,1.0.12
broom.helpers,1.22.0
broom.mixed,0.2.9.7
bslib,0.10.0
ca,0.71.1
cachem,1.1.0
cAIC4,1.1
Cairo,1.7-0
calibrate,1.7.7
callr,3.7.6
car,3.1-5
carData,3.0-6
cards,0.7.1
caret,7.0-1
caTools,1.18.3
cba,0.2-25
cellranger,1.1.0
CFtime,1.7.3
checkmate,2.3.4
chk,0.10.0
chron,2.3-62
circlize,0.4.18
clarabel,0.11.2
classInt,0.4-11
cli,3.6.6
climextRemes,0.3.1
clipr,0.8.0
clock,0.7.4
clubSandwich,0.6.2
clue,0.3-68
ClusterR,1.3.6
cmprsk,2.2-12
cobalt,4.6.2
coda,0.19-4.1
coin,1.4-3
collapse,2.1.6
colorspace,2.1-2
colourpicker,1.3.0
combinat,0.0-8
commonmark,2.0.0
compositions,2.0-9
CompQuadForm,1.4.4
concaveman,1.2.0
conflicted,1.2.0
conquer,1.3.3
contfrac,1.1-12
corpcor,1.6.10
corrplot,0.95
corrr,0.4.5
covr,3.6.5
cowplot,1.2.0
cpp11,0.5.4
crayon,1.5.3
credentials,2.0.3
crosstalk,1.2.2
crul,1.6.0
cubature,2.1.4-1
cubelyr,1.0.2
curl,7.1.0
cvar,0.6
cvAUC,1.1.4
CVST,0.2-3
CVXR,1.8.2
cyclocomp,1.1.2
DAAG,1.25.7
data.table,1.18.2.1
data.tree,1.2.0
datawizard,1.3.1
date,1.2-43
dbarts,0.9-33
DBI,1.3.0
DBItest,1.8.2
dbplyr,2.5.2
dbscan,1.2.4
ddalpha,1.3.16
deconvolveR,1.2-1
decor,1.0.2
deldir,2.0-4
dendextend,1.19.1
DEoptim,2.2-8
DEoptimR,1.1-4
Deriv,4.2.0
desc,1.4.3
DescTools,0.99.60
deSolve,1.42
devtools,2.5.1
dfidx,0.2-0
dfoptim,2023.1.0
diagram,1.6.5
dials,1.4.3
DiceDesign,1.10
dichromat,2.0-0.1
diffobj,0.3.6
digest,0.6.39
diptest,0.77-2
DirichletReg,0.7-2
distillery,1.2-2
distributional,0.7.0
DistributionUtils,0.6-2
dlm,1.1-6.1
doBy,4.7.1
docopt,0.7.2
doFuture,1.2.1
doMC,1.3.8
doParallel,1.0.17
doRNG,1.8.6.3
doSNOW,1.0.20
dotCall64,1.2
downlit,0.4.5
dplyr,1.2.1
dqrng,0.4.1
DRR,0.0.4
DT,0.34.0
dtplyr,1.3.3
duckdb,1.5.2
dygraphs,1.1.1.6
dynamicTreeCut,1.63-1
dynlm,0.3-6
e1071,1.7-17
earth,5.3.5
ebnm,1.1-42
Ecdat,0.4.7
Ecfun,0.4.0
ECOSolveR,0.6.1
effects,4.2-5
effectsize,1.0.2
ellipse,0.5.0
ellipsis,0.3.3
elliptic,1.5-1
emdbook,1.3.14
emmeans,2.0.3
emulator,1.2-24
energy,1.7-12
enrichwith,0.4.0
entropy,1.3.2
EnvStats,3.1.0
Epi,2.65
epiR,2.0.92
estimability,1.5.1
estimatr,1.0.6
etm,1.1.2
etrunct,0.1
